mass_code,resolution_code,periapsis_code,velocity_code,timestep,fof_linking_length,fragment_count_min_particles,largest_fragment_particle_count,largest_fragment_mass_kg,fragment_mass_fraction
A2000,n65,r18,v00,90000,0.005,116.0,2243886.0,6.9493860377381994e+19,1.0
A2000,n65,r18,v00,90000,0.006,114.0,2244071.0,6.949958986109239e+19,1.0
A2000,n65,r18,v00,90000,0.008,110.0,2244283.0,6.950615558551488e+19,1.0
A2000,n65,r18,v02,90000,0.004,97.0,2327034.0,7.2068980228806525e+19,1.0
A2000,n65,r18,v04,90000,0.004,85.0,2413599.0,7.474992570662914e+19,1.0
A2000,n65,r18,v06,90000,0.004,111.0,2624570.0,8.128376525725855e+19,1.0
A2000,n65,r18,v08,90000,0.004,107.0,2665776.0,8.255992842152944e+19,1.0
A2000,n65,r18,v10,90000,0.004,8.0,2604691.0,8.06681062186211e+19,1.0
A2000,n65,r19,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r19,v00,90000,0.002,1388.0,5197.0,1.6095282634117914e+17,1.0
A2000,n65,r19,v00,90000,0.003,2.0,2642611.0,8.184250098740077e+19,1.0
A2000,n65,r19,v00,90000,0.0035,2.0,2642611.0,8.184250098740077e+19,1.0
A2000,n65,r19,v00,90000,0.004,214.66666666666666,1030394.3333333334,3.2004660216584307e+19,1.0
A2000,n65,r19,v00,90000,0.0045,2.0,2642611.0,8.184250098740077e+19,1.0
A2000,n65,r19,v00,90000,0.005,2.0,2642611.0,8.184250098740077e+19,1.0
A2000,n65,r19,v00,90000,0.006,2.0,2642611.0,8.184250098740077e+19,1.0
A2000,n65,r19,v00,90000,0.008,2.0,2642611.0,8.184250098740077e+19,1.0
A2000,n65,r20,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r20,v00,90000,0.002,1296.0,3360.0,1.0406025918729869e+17,1.0
A2000,n65,r20,v00,90000,0.003,5.0,2817032.0,8.72443726858744e+19,1.0
A2000,n65,r20,v00,90000,0.0035,5.0,2817032.0,8.72443726858744e+19,1.0
A2000,n65,r20,v00,90000,0.004,97.5625,2222989.125,7.013962751641036e+19,1.0
A2000,n65,r20,v00,90000,0.0045,5.0,2817033.0,8.72444036562916e+19,1.0
A2000,n65,r20,v00,90000,0.005,5.0,2817033.0,8.72444036562916e+19,1.0
A2000,n65,r20,v00,90000,0.006,5.0,2817033.0,8.72444036562916e+19,1.0
A2000,n65,r20,v00,90000,0.008,5.0,2817034.0,8.724443462652492e+19,1.0
A2000,n65,r20,v02,90000,0.004,207.66666666666666,1296619.0,4.0386350573992305e+19,1.0
A2000,n65,r20,v04,90000,0.004,179.0,1317883.6666666667,4.104718261033571e+19,1.0
A2000,n65,r20,v06,90000,0.004,198.66666666666666,1377451.0,4.292616066773784e+19,1.0
A2000,n65,r20,v08,90000,0.004,221.5,671999.5,2.1254514895814738e+19,1.0
A2000,n65,r20,v10,90000,0.004,183.5,880323.5,2.7843657279606727e+19,1.0
A2000,n65,r22,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r22,v00,90000,0.002,1015.0,16036.0,4.9664023592931386e+17,1.0
A2000,n65,r22,v00,90000,0.003,1.0,3227695.0,9.996273753241453e+19,1.0
A2000,n65,r22,v00,90000,0.0035,1.0,3227695.0,9.996273753241453e+19,1.0
A2000,n65,r22,v00,90000,0.004,127.66666666666667,1998710.6666666667,6.251150990330163e+19,1.0
A2000,n65,r22,v00,90000,0.0045,1.0,3227695.0,9.996273753241453e+19,1.0
A2000,n65,r22,v00,90000,0.005,1.0,3227695.0,9.996273753241453e+19,1.0
A2000,n65,r22,v00,90000,0.006,1.0,3227695.0,9.996273753241453e+19,1.0
A2000,n65,r22,v00,90000,0.008,1.0,3227695.0,9.996273753241453e+19,1.0
A2000,n65,r24,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r24,v00,90000,0.002,1235.0,441.0,1.3657903762814846e+16,1.0
A2000,n65,r24,v00,90000,0.003,1.0,3227695.0,9.996273753246936e+19,1.0
A2000,n65,r24,v00,90000,0.0035,1.0,3227695.0,9.996273753246936e+19,1.0
A2000,n65,r24,v00,90000,0.004,162.33333333333334,2249856.0,7.043860737774246e+19,1.0
A2000,n65,r24,v00,90000,0.0045,1.0,3227695.0,9.996273753246936e+19,1.0
