task,dataset,feature_set,target,model,rows,unique_physical_files,train_accuracy,test_accuracy,accuracy_gap,train_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_gap,train_f1,test_f1,f1_gap,train_roc_auc,test_roc_auc,roc_auc_gap,train_mae,test_mae,mae_gap,train_rmse,test_rmse,rmse_gap,train_r2,test_r2,r2_gap
regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,407,279,,,,,,,,,,,,,4.5971544761656634e+17,8.237797851547762e+17,3.6406433753820986e+17,7.263118825501562e+17,1.782267083110062e+18,1.0559552005599059e+18,0.9642904246079979,0.7849774738288322,0.17931295077916565
regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,ridge,407,279,,,,,,,,,,,,,1.6914366643256215e+18,1.7598185983834962e+18,6.838193405787469e+16,3.2106652236255073e+18,3.4110198281723377e+18,2.0035460454683034e+17,0.3022040643556291,0.2123978818201594,0.08980618253546968
regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,407,279,,,,,,,,,,,,,1.8315963956089956e+18,1.858707031952421e+18,2.7110636343425536e+16,3.843534699375421e+18,3.873629750493335e+18,3.009505111791411e+16,0.0,-0.015721400371806693,0.015721400371806693
regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,225,160,,,,,,,,,,,,,3.272393049111113e+17,1.162849973195293e+18,8.356106682841816e+17,6.742280806393289e+17,3.741817143791182e+18,3.067589063151853e+18,0.9803110517207486,0.39357937117600006,0.5867316805447486
regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,,,,,,,,,,,,,2.965899731435423e+17,1.2052284214779167e+18,9.086384483343744e+17,4.3295810862965344e+17,3.728886040810657e+18,3.2959279321810033e+18,0.9918810362762507,0.39776350819308814,0.5941175280831625
regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,225,160,,,,,,,,,,,,,2.1417684388998907e+18,2.2111141838006385e+18,6.934574490074778e+16,4.805024177352413e+18,4.919943136860264e+18,1.1491895950785126e+17,0.0,-0.04840482797382095,0.04840482797382095
regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,ridge,225,160,,,,,,,,,,,,,2.0510406734662226e+18,2.313372234472786e+18,2.6233156100656333e+17,3.4126811500870303e+18,4.4576407556701455e+18,1.0449596055831153e+18,0.4955707371864023,0.13936505428958856,0.35620568289681376
regression,positive_bound_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,225,160,,,,,,,,,,,,,4.4528066708803686e+17,1.22494209171196e+18,7.796614246239232e+17,8.255328189983529e+17,3.765603654988446e+18,2.9400708359900933e+18,0.9704826386391311,0.3858449048529333,0.5846377337861978
regression,positive_bound_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,,,,,,,,,,,,,3.651018656862082e+17,1.2660741694002575e+18,9.009723037140493e+17,6.173618294976084e+17,3.752910712090708e+18,3.1355488825931e+18,0.9834922305817012,0.3899782645998988,0.5935139659818024
regression,positive_bound_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,225,160,,,,,,,,,,,,,2.1417684388998907e+18,2.2111141838006385e+18,6.934574490074778e+16,4.805024177352413e+18,4.919943136860264e+18,1.1491895950785126e+17,0.0,-0.04840482797382095,0.04840482797382095
