mass_log10_kg,periapsis_Rm,v_inf_kms,spin_axis,has_explicit_spin,nearby_run_count,local_grouped_mae,local_grouped_rmse,mean_predicted_bmf,mean_actual_bmf,benchmark_disagreement_mean,sparse_region_flag,local_grouped_mae_percentage_points,benchmark_disagreement_percentage_points,sparse_threshold
20.0,1.2,0.0,z,True,5,0.006568937884568265,0.007029511439940117,0.25506801460736495,0.25627323353534937,0.013963094259071778,False,0.6568937884568266,1.3963094259071778,2.0
20.0,1.2,0.2,none,False,2,0.013205003077447597,0.015044816315870959,0.17864922142073963,0.16544421834329204,0.006280373883938789,True,1.3205003077447597,0.6280373883938789,2.0
20.0,1.2,0.2,z,True,2,0.004842144777255933,0.006137071328513361,0.25399548927255144,0.25022490862133157,0.005071299043204136,True,0.4842144777255933,0.5071299043204136,2.0
20.0,1.2,0.4,none,False,2,0.007442543829577972,0.008194558091538153,0.1492860561457766,0.14585686911961365,0.01499278763203965,True,0.7442543829577972,1.499278763203965,2.0
20.0,1.2,0.4,z,True,2,0.01054071051397626,0.011421276944044066,0.2146621086444658,0.219059720370517,0.005652173727649548,True,1.054071051397626,0.5652173727649548,2.0
20.0,1.2,0.6,none,False,2,0.02723274312049364,0.028923159256127068,0.08848421389361696,0.0982272546658038,0.009049397940339432,True,2.723274312049364,0.9049397940339432,2.0
20.0,1.2,0.6,z,True,2,0.007580389379689259,0.00785646570093939,0.1549756843961604,0.1570400850748881,0.013716816272019941,True,0.7580389379689259,1.371681627201994,2.0
20.0,1.2,0.8,none,False,2,0.019080611910676372,0.02494753210916111,0.032240551619105565,0.016168538445524,0.021294929807490617,True,1.9080611910676373,2.1294929807490615,2.0
20.0,1.2,0.8,z,True,2,0.004210337902225934,0.005566820714697333,0.07646320441527468,0.0801049825000381,0.008945081739483926,True,0.42103379022259346,0.8945081739483927,2.0
20.0,1.2,1.0,none,False,2,0.007149845547222325,0.00992630238170591,0.007149845547222325,0.0,0.00272053856906915,True,0.7149845547222324,0.272053856906915,2.0
20.0,1.2,1.0,z,True,2,0.013488462924253444,0.01848897388874759,0.030461539601796678,0.0178162431086404,0.008471375292964274,True,1.3488462924253444,0.8471375292964274,2.0
20.0,1.2,1.2,none,False,1,0.0,0.0,0.0,0.0,0.0011843394230953378,True,0.0,0.11843394230953377,2.0
20.0,1.2,1.2,z,True,2,0.0031012285753400847,0.0031415616085382425,0.0031012285753400847,0.0,0.01712253234091221,True,0.3101228575340085,1.712253234091221,2.0
20.0,1.2,1.4,none,False,1,5.39011365676525e-05,5.39011365676525e-05,5.39011365676525e-05,0.0,0.00010610430393994351,True,0.00539011365676525,0.010610430393994352,2.0
20.0,1.2,1.4,z,True,2,0.0014499085244280103,0.0016533653421643413,0.0014499085244280103,0.0,0.008616519167525254,True,0.14499085244280102,0.8616519167525254,2.0
20.0,1.2,1.6,none,False,1,1.972333435071089e-05,1.972333435071089e-05,1.972333435071089e-05,0.0,0.0006957601948436837,True,0.001972333435071089,0.06957601948436837,2.0
20.0,1.2,1.6,z,True,2,0.00038578675712191274,0.0005225990805073085,0.00038578675712191274,0.0,0.005083118418083881,True,0.03857867571219127,0.5083118418083881,2.0
20.0,1.3,0.0,none,False,1,0.011718112860749641,0.011841931452601113,0.1749831178838982,0.18394633969798135,0.009316158993527146,True,1.171811286074964,0.9316158993527146,2.0
20.0,1.3,0.0,z,True,2,0.0036941445890179836,0.0037242513262950795,0.26639548504735,0.26270134045833204,0.015039554873491345,True,0.36941445890179836,1.5039554873491345,2.0
20.0,1.4,0.0,none,False,5,0.006701724959251524,0.008762349371173608,0.16988754015591817,0.17039225095172722,0.0074411183585326645,False,0.6701724959251524,0.7441118358532665,2.0
20.0,1.4,0.0,z,True,2,0.011430767056238897,0.01599289770709449,0.25568389068181085,0.2444986172575448,0.006746562281569085,True,1.1430767056238897,0.6746562281569085,2.0
20.0,1.4,0.2,none,False,1,0.0015821613817341706,0.0015821613817341706,0.16054550446452448,0.1589633430827903,0.0071882752382861625,True,0.15821613817341706,0.7188275238286163,2.0
20.0,1.4,0.4,none,False,1,0.0149700486955254,0.0149700486955254,0.1269878544598223,0.1120178057642969,0.01975196735674914,True,1.4970048695525402,1.9751967356749138,2.0
20.0,1.4,0.6,none,False,1,0.004902627735080781,0.004902627735080781,0.059190118374259984,0.0542874906391792,0.02538695944434813,True,0.49026277350807806,2.5386959444348127,2.0
20.0,1.4,0.8,none,False,1,0.004217904161310562,0.004217904161310562,0.004217904161310562,0.0,0.0035592130294756544,True,0.42179041613105617,0.35592130294756547,2.0
20.0,1.4,1.0,none,False,1,0.00022597594565954433,0.00022597594565954433,0.00022597594565954433,0.0,4.147389116246388e-05,True,0.02259759456595443,0.004147389116246388,2.0
20.0,1.5,0.0,none,False,1,0.007655742841660437,0.0077529294863241715,0.15371877003167014,0.14847944703884466,0.00931725627982069,True,0.7655742841660437,0.931725627982069,2.0
20.0,1.5,0.0,z,True,2,0.008698073134997264,0.009488188830422946,0.24368037242537371,0.252378445560371,0.004731215284994497,True,0.8698073134997264,0.4731215284994497,2.0
20.0,1.6,0.0,mz,True,3,0.03377183161793516,0.04420604760901721,0.05625666206858323,0.022484830450648068,0.016405933646845786,False,3.3771831617935155,1.6405933646845787,2.0
20.0,1.6,0.0,none,False,5,0.009186386543014919,0.014265929500348318,0.13364195691739758,0.13470449797643647,0.008142704378827897,False,0.9186386543014919,0.8142704378827896,2.0
20.0,1.6,0.0,x,True,5,0.028136496085946826,0.04165628184649155,0.12413743880293071,0.11143968229182563,0.011698838384381733,False,2.8136496085946825,1.1698838384381733,2.0
20.0,1.6,0.0,y,True,5,0.017596064921898576,0.020776922910217238,0.16397773986971614,0.16909429712616217,0.01216582751059984,False,1.7596064921898575,1.216582751059984,2.0
20.0,1.6,0.0,z,True,5,0.007776694419723657,0.01127264681222995,0.21871517782265296,0.22451025341163322,0.017218850088653072,False,0.7776694419723656,1.7218850088653073,2.0
20.0,1.6,0.2,none,False,2,0.020809481289624343,0.024990511007577296,0.12533281916943295,0.1461423004590573,0.006940230296960677,True,2.0809481289624343,0.6940230296960677,2.0
20.0,1.6,0.2,z,True,2,0.001996349430957514,0.0023232741854966317,0.22924925442546826,0.22725290499451073,0.0028536971622397656,True,0.19963494309575142,0.28536971622397656,2.0
20.0,1.6,0.4,none,False,2,0.030851830151729133,0.0354908385132516,0.09260738410803848,0.1101505934684309,0.019007201653208662,True,3.0851830151729134,1.9007201653208663,2.0
20.0,1.6,0.4,z,True,1,0.01586277566927266,0.01586277566927266,0.16875995657974435,0.184622732249017,0.010148549754718822,True,1.586277566927266,1.014854975471882,2.0
20.0,1.6,0.6,mz,True,3,0.0011891756044978624,0.0013979941859601672,0.0011891756044978624,0.0,0.009354284474731403,False,0.11891756044978624,0.9354284474731402,2.0
20.0,1.6,0.6,none,False,2,0.016912705094311066,0.019149420621937294,0.026654284150839078,0.017673153011125,0.009184626628527565,True,1.6912705094311067,0.9184626628527565,2.0
20.0,1.6,0.6,x,True,5,0.01573627177526038,0.01655863408610581,0.01573627177526038,0.0,0.011759789309858965,False,1.573627177526038,1.1759789309858966,2.0
