dataset,feature_set,target,model,importance_type,rank,feature,importance
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,1,periapsis_Rm,750320.2890268278
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,2,spin_axis,259494.88123685046
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,3,spin_period_hr,110691.77490699792
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,4,v_inf_kms,49980.954083366014
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,5,has_explicit_spin,2607.1502394254553
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,6,mass_log10_kg,-1.4551915228366852e-11
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,7,particle_log10,-4.3655745685100555e-11
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,8,timestep,-5.5297277867794034e-11
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,permutation_importance,9,fof_linking_length,-5.820766091346741e-11
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,1,cat__spin_axis_mz,1311394.8258017993
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,2,cat__spin_axis_z,919672.2556889986
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,3,num__periapsis_Rm,692825.2623501787
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,4,cat__spin_axis_y,207538.5915755416
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,5,cat__spin_axis_x,196768.11254763466
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,6,num__has_explicit_spin,30782.336428674003
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,7,num__spin_period_hr,21319.669210159103
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,8,cat__spin_axis_none,12584.134010330652
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,9,num__v_inf_kms,6148.0347642869265
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,11,num__timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,absolute_coefficient,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,1,periapsis_Rm,574317.9157564893
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,2,spin_axis,136330.35808588684
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,3,spin_period_hr,1772.6543796282263
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,4,fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,5,timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,6,particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,7,mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,8,has_explicit_spin,-1.1641532182693482e-11
