target,feature_set,model,params_json,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8437283556043778,0.021016079690178595,0.0367831308247508,0.8386300581767678,0.034995073743634315,0.021006635427591642,0.0039902520994112125,0.03632267445357736,0.005709259404612018
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7145821792044664,0.040544284602343904,0.04971061586960937,0.7011508703240941,0.03761710571808936,0.04052890752648776,0.004228191735756793,0.04948017829856516,0.004640687213077629
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.797283185354982,0.025885807448929488,0.041894160039599726,0.7899196100573957,0.050946589162408275,0.025874456509594822,0.004785403286629792,0.04135400296611301,0.006649323421592123
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7982000473024606,0.030583692905157688,0.04179931173630048,0.7902958720012707,0.028950715636138886,0.030562267098702002,0.004519887289747122,0.0415063288560178,0.004774464930484057
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8459291939837195,0.020815226975286864,0.03652319634500572,0.840944361122603,0.034731393440177616,0.020806621786239595,0.004052252585232326,0.0360589119442222,0.005710007752746177
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7178096887957843,0.040206262463756054,0.049428752528722475,0.7047536471602799,0.037329457667432724,0.040189783187229086,0.004250887190760405,0.0491892634776005,0.004709303187583862
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7966487406375634,0.02591316548864948,0.04195966709806551,0.7892974666466068,0.054345863491098385,0.025902991147267636,0.004932709220329248,0.04137608601480143,0.0069279535677399
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7874201317632399,0.03272259629911735,0.04290122246159044,0.7794036854826663,0.0294339833936261,0.03269872219715637,0.00484000275564225,0.04259100220932991,0.00497649984222377
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8447104582311935,0.020928266600382526,0.036667365274425226,0.8395371849147402,0.034982108087446416,0.020919688612010108,0.003946920369843327,0.036213236803169555,0.005664187282099271
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7152635626865306,0.04055052553246225,0.04965124285564538,0.7021981573002269,0.03805829163628332,0.04053377939360186,0.004355794051571313,0.04940428053052225,0.004798999569467538
