relative_path,filename,suffix,size_bytes,contains_fof_in_name
Ma_xp_A2000_n65_r14_v06_90000.hdf5,Ma_xp_A2000_n65_r14_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r14_v08_90000.hdf5,Ma_xp_A2000_n65_r14_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_n65_r14_v10_90000.hdf5,Ma_xp_A2000_n65_r14_v10_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_n65_r15_v00_90000.hdf5,Ma_xp_A2000_n65_r15_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r16_v00_90000.hdf5,Ma_xp_A2000_n65_r16_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_n65_r16_v02_90000.hdf5,Ma_xp_A2000_n65_r16_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r16_v04_90000.hdf5,Ma_xp_A2000_n65_r16_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r16_v06_90000.hdf5,Ma_xp_A2000_n65_r16_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r16_v08_90000.hdf5,Ma_xp_A2000_n65_r16_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_n65_r16_v10_90000.hdf5,Ma_xp_A2000_n65_r16_v10_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_n65_r17_v00_90000.hdf5,Ma_xp_A2000_n65_r17_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r18_v00_90000.hdf5,Ma_xp_A2000_n65_r18_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A2000_n65_r18_v02_90000.hdf5,Ma_xp_A2000_n65_r18_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r18_v04_90000.hdf5,Ma_xp_A2000_n65_r18_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r18_v06_90000.hdf5,Ma_xp_A2000_n65_r18_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r18_v08_90000.hdf5,Ma_xp_A2000_n65_r18_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_n65_r18_v10_90000.hdf5,Ma_xp_A2000_n65_r18_v10_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_n65_r19_v00_90000.hdf5,Ma_xp_A2000_n65_r19_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r20_v00_90000.hdf5,Ma_xp_A2000_n65_r20_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r20_v02_90000.hdf5,Ma_xp_A2000_n65_r20_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r20_v04_90000.hdf5,Ma_xp_A2000_n65_r20_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r20_v06_90000.hdf5,Ma_xp_A2000_n65_r20_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r22_v00_90000.hdf5,Ma_xp_A2000_n65_r22_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r24_v00_90000.hdf5,Ma_xp_A2000_n65_r24_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_s030mz_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s030mz_n65_r12_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030x_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s030x_n65_r12_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030x_n65_r16_v00_90000.hdf5,Ma_xp_A2000_s030x_n65_r16_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s030x_n65_r16_v06_90000.hdf5,Ma_xp_A2000_s030x_n65_r16_v06_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s030x_n65_r20_v00_90000.hdf5,Ma_xp_A2000_s030x_n65_r20_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030y_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s030y_n65_r12_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030y_n65_r16_v00_90000.hdf5,Ma_xp_A2000_s030y_n65_r16_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s030y_n65_r16_v06_90000.hdf5,Ma_xp_A2000_s030y_n65_r16_v06_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030y_n65_r20_v00_90000.hdf5,Ma_xp_A2000_s030y_n65_r20_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s030z_n65_r11_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r11_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030z_n65_r12_v02_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v02_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v04_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v06_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v08_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v10_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v10_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v12_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v12_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v14_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v14_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r12_v16_90000.hdf5,Ma_xp_A2000_s030z_n65_r12_v16_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r13_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r13_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r14_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r14_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r15_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r15_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r16_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r16_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030z_n65_r16_v02_90000.hdf5,Ma_xp_A2000_s030z_n65_r16_v02_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r16_v04_90000.hdf5,Ma_xp_A2000_s030z_n65_r16_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r16_v06_90000.hdf5,Ma_xp_A2000_s030z_n65_r16_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r16_v08_90000.hdf5,Ma_xp_A2000_s030z_n65_r16_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r16_v10_90000.hdf5,Ma_xp_A2000_s030z_n65_r16_v10_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r17_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r17_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r18_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r18_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r19_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r19_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r20_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r20_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s030z_n65_r20_v02_90000.hdf5,Ma_xp_A2000_s030z_n65_r20_v02_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r20_v04_90000.hdf5,Ma_xp_A2000_s030z_n65_r20_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r20_v06_90000.hdf5,Ma_xp_A2000_s030z_n65_r20_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r20_v08_90000.hdf5,Ma_xp_A2000_s030z_n65_r20_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r20_v10_90000.hdf5,Ma_xp_A2000_s030z_n65_r20_v10_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r22_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r22_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r24_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r24_v00_90000.hdf5,.hdf5,307564488,False
