fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1900_s030z_n65_r20_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,True,True,True,1070.9557682275772,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s030z_n65_r20_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,True,True,True,1106.4623249694705,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s030z_n65_r20_v06_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s030z_n65_r22_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,True,True,True,1029.8613924533129,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s030z_n65_r24_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s030z_n65_r26_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s035mz_n65_r12_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s035x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,True,True,True,1089.0527628362179,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s035y_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,True,True,True,1104.2578844353557,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s035z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,True,True,True,1128.0722683295608,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
